Ward,Precinct,RAHM EMANUEL,WILLIE WILSON,ROBERT W. FIORETTI,"JESUS ""CHUY"" GARCIA",WILLIAM WALLS III,Votes Cast
4.0,11.0,148.0,57.0,19.0,51.0,20.0,295.0
4.0,12.0,109.0,44.0,15.0,94.0,24.0,286.0
4.0,13.0,78.0,4.0,21.0,29.0,2.0,134.0
4.0,14.0,114.0,54.0,43.0,74.0,17.0,302.0
4.0,15.0,149.0,59.0,21.0,101.0,25.0,355.0
4.0,16.0,140.0,4.0,23.0,58.0,1.0,226.0
4.0,17.0,144.0,5.0,43.0,71.0,2.0,265.0
4.0,18.0,147.0,57.0,17.0,73.0,14.0,308.0
4.0,19.0,102.0,68.0,15.0,51.0,22.0,258.0
4.0,20.0,147.0,8.0,51.0,76.0,7.0,289.0
4.0,21.0,121.0,13.0,38.0,61.0,6.0,239.0
4.0,22.0,161.0,30.0,12.0,96.0,17.0,316.0
4.0,23.0,150.0,27.0,14.0,152.0,15.0,358.0
4.0,24.0,110.0,28.0,18.0,82.0,16.0,254.0
4.0,25.0,146.0,10.0,37.0,54.0,4.0,251.0
4.0,26.0,137.0,76.0,21.0,79.0,15.0,328.0
4.0,27.0,102.0,29.0,26.0,140.0,10.0,307.0
4.0,28.0,146.0,49.0,28.0,82.0,21.0,326.0
4.0,29.0,95.0,50.0,12.0,72.0,13.0,242.0
4.0,30.0,166.0,76.0,16.0,66.0,21.0,345.0
4.0,31.0,200.0,54.0,20.0,97.0,18.0,389.0
4.0,32.0,123.0,53.0,14.0,76.0,15.0,281.0
4.0,33.0,132.0,63.0,18.0,110.0,15.0,338.0
4.0,34.0,103.0,56.0,14.0,71.0,22.0,266.0
4.0,35.0,168.0,57.0,29.0,114.0,23.0,391.0
4.0,36.0,120.0,55.0,47.0,90.0,28.0,340.0
4.0,37.0,146.0,2.0,56.0,73.0,8.0,285.0
4.0,38.0,163.0,44.0,28.0,106.0,14.0,355.0
5.0,1.0,98.0,45.0,8.0,50.0,17.0,218.0
5.0,2.0,96.0,48.0,6.0,55.0,16.0,221.0
5.0,3.0,76.0,8.0,13.0,166.0,10.0,273.0
5.0,4.0,128.0,27.0,26.0,100.0,12.0,293.0
5.0,5.0,126.0,46.0,7.0,80.0,23.0,282.0
5.0,6.0,100.0,56.0,8.0,72.0,10.0,246.0
5.0,7.0,146.0,30.0,8.0,72.0,9.0,265.0
5.0,8.0,139.0,6.0,10.0,141.0,1.0,297.0
5.0,9.0,149.0,33.0,14.0,111.0,12.0,319.0
5.0,10.0,83.0,45.0,11.0,64.0,16.0,219.0
